,V1,V2,V3
1,1979,9,21883.89
2,1980,7,12930.94
3,1981,1,5491.61
4,1982,1,0
5,1983,9,5705.1
6,1984,30,27231.05
7,1985,2,0
8,1986,0,0
9,1987,3,6843.61
10,1988,0,0
11,1989,1,0
12,1990,0,0
13,1991,24,71633.31
14,1992,276,1634255.02
15,1993,8,3618.52
16,1994,1,0
17,1995,2,10115.33
18,1996,11,14210.57
19,1997,0,0
20,1998,2,2307.57
21,1999,3,4339.41
22,2000,5,16796.39
23,2001,2,0
24,2002,10,13862.47
25,2003,1,4048.3
26,2004,10,37274.87
27,2005,83,447125.06
28,2006,2,8101.59
29,2007,5,29306.08
30,2008,0,0
31,2009,2,23395.35
32,2010,29,88849.96
33,2011,338,2676811.8
34,2012,1476,150378385.7
35,2013,1,0
36,2014,3,4728.44
37,2015,0,0
38,2016,0,0
39,2017,1,0
40,2018,0,0
41,2019,1,0
42,2020,1,0
43,2021,4,2751.84
