,V1,V2,V3
1,1979,0,0
2,1980,1,0
3,1981,0,0
4,1982,0,0
5,1983,1,848.85
6,1984,9,13428.36
7,1985,2,7325.65
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,2,5996.13
12,1990,1,0
13,1991,3,15355.7
14,1992,96,873089.43
15,1993,2,17250.34
16,1994,1,6341.16
17,1995,1,0
18,1996,14,48208.56
19,1997,0,0
20,1998,6,6843.02
21,1999,0,0
22,2000,1,0
23,2001,2,0
24,2002,3,2832.83
25,2003,0,0
26,2004,0,0
27,2005,2,2960.14
28,2006,0,0
29,2007,4,21652.47
30,2008,1,0
31,2009,0,0
32,2010,37,217527.91
33,2011,126,978703.63
34,2012,524,26016233.83
35,2013,1,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,1,0
40,2018,4,3281.25
41,2019,0,0
42,2020,0,0
43,2021,1,3574.16
