36103201001,,,
,V1,V2,V3
1,1979,0,0
2,1980,0,0
3,1981,0,0
4,1982,2,7651.71
5,1983,0,0
6,1984,12,3720.14
7,1985,0,0
8,1986,0,0
9,1987,1,0
10,1988,1,0
11,1989,0,0
12,1990,0,0
13,1991,29,56660.08
14,1992,19,32617.88
15,1993,1,0
16,1994,4,3335.04
17,1995,2,0
18,1996,3,1163.95
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,1,0
24,2002,0,0
25,2003,1,0
26,2004,0,0
27,2005,11,47318.11
28,2006,1,1459.31
29,2007,0,0
30,2008,0,0
31,2009,0,0
32,2010,17,60130.28
33,2011,4,1385.58
34,2012,49,641136.18
35,2013,1,4960.72
36,2014,3,0
37,2015,0,0
38,2016,2,0
39,2017,1,44103.4
40,2018,1,6110.9
41,2019,9,151933.41
42,2020,0,0
43,2021,2,1094.5
