36119006900,,,
,V1,V2,V3
1,1979,36,103204.86
2,1980,31,57332.29
3,1981,2,0
4,1982,21,45456.25
5,1983,8,3056.45
6,1984,24,54860.24
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,2,12071.43
13,1991,1,13700.68
14,1992,10,61607.83
15,1993,0,0
16,1994,2,0
17,1995,0,0
18,1996,16,43768.36
19,1997,0,0
20,1998,1,2196.92
21,1999,3,4326.28
22,2000,2,940.62
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,6,74159.39
27,2005,0,0
28,2006,1,0
29,2007,52,916860.99
30,2008,2,5445.79
31,2009,0,0
32,2010,12,49543.3
33,2011,12,285911.33
34,2012,2,154470.16
35,2013,0,0
36,2014,3,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,3,68225.35
41,2019,2,0
42,2020,1,0
43,2021,114,5328411.13
