36119007200,,,
,V1,V2,V3
1,1979,20,29993.92
2,1980,14,84187.93
3,1981,0,0
4,1982,2,1552.64
5,1983,7,5364
6,1984,12,14648.79
7,1985,1,0
8,1986,0,0
9,1987,1,0
10,1988,0,0
11,1989,4,1276.25
12,1990,1,0
13,1991,3,27771.69
14,1992,48,1121098.01
15,1993,1,4184.94
16,1994,0,0
17,1995,1,2850
18,1996,22,351748.2
19,1997,0,0
20,1998,1,4754.06
21,1999,3,0
22,2000,1,24831.84
23,2001,1,10538.27
24,2002,3,26600
25,2003,0,0
26,2004,5,13802.65
27,2005,0,0
28,2006,8,42459.96
29,2007,25,455281.44
30,2008,3,20353.19
31,2009,0,0
32,2010,20,95156.51
33,2011,32,630864.32
34,2012,68,3698359.99
35,2013,0,0
36,2014,2,5536.48
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,2,11031.74
41,2019,0,0
42,2020,0,0
43,2021,71,3254303.39
