9001044300,,,
,V1,V2,V3
1,1979,0,0
2,1980,9,8477.13
3,1981,1,0
4,1982,0,0
5,1983,0,0
6,1984,3,382.78
7,1985,2,564.5
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,7,3965.51
14,1992,49,448562.91
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,4,5270.93
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,0,0
27,2005,0,0
28,2006,3,0
29,2007,0,0
30,2008,2,0
31,2009,0,0
32,2010,2,0
33,2011,41,435528.58
34,2012,123,4955692.33
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,1,16577.58
41,2019,0,0
42,2020,1,1164.28
43,2021,1,9853.51
