36119007402,,,
,V1,V2,V3
1,1979,12,23144.09
2,1980,30,58004.22
3,1981,0,0
4,1982,0,0
5,1983,5,10922.37
6,1984,18,50503.96
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,0,0
13,1991,1,0
14,1992,39,703520.96
15,1993,0,0
16,1994,4,15566.06
17,1995,1,0
18,1996,28,199228.92
19,1997,0,0
20,1998,2,0
21,1999,0,0
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,1,0
27,2005,2,1914.54
28,2006,1,0
29,2007,17,96702.94
30,2008,0,0
31,2009,1,0
32,2010,23,226422.28
33,2011,36,286251.27
34,2012,51,3031439.14
35,2013,0,0
36,2014,1,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,1,0
41,2019,0,0
42,2020,0,0
43,2021,16,311570.16
