9001030300,,,
,V1,V2,V3
1,1979,1,537.9
2,1980,13,47149.03
3,1981,0,0
4,1982,2,3940.7
5,1983,3,1263.63
6,1984,7,7057.53
7,1985,3,7818.95
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,6,6631.57
12,1990,0,0
13,1991,6,40912.94
14,1992,92,1556761.35
15,1993,1,0
16,1994,1,0
17,1995,0,0
18,1996,18,199528.28
19,1997,1,0
20,1998,1,4321.3
21,1999,0,0
22,2000,0,0
23,2001,7,0
24,2002,0,0
25,2003,0,0
26,2004,1,1498.31
27,2005,1,2117.48
28,2006,3,0
29,2007,3,6466.96
30,2008,0,0
31,2009,0,0
32,2010,5,16879.97
33,2011,46,871513.52
34,2012,151,11851422.73
35,2013,1,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,7,260438.43
41,2019,0,0
42,2020,0,0
43,2021,13,136567.7
