9011693500,,,
,V1,V2,V3
1,1979,0,0
2,1980,0,0
3,1981,0,0
4,1982,3,5267.76
5,1983,0,0
6,1984,0,0
7,1985,1,4208.85
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,0,0
12,1990,1,0
13,1991,1,5338
14,1992,0,0
15,1993,0,0
16,1994,0,0
17,1995,0,0
18,1996,0,0
19,1997,0,0
20,1998,0,0
21,1999,0,0
22,2000,0,0
23,2001,1,1066.21
24,2002,0,0
25,2003,0,0
26,2004,0,0
27,2005,4,8352.88
28,2006,0,0
29,2007,0,0
30,2008,0,0
31,2009,0,0
32,2010,3,2954.34
33,2011,2,32882.76
34,2012,19,528637.7
35,2013,0,0
36,2014,0,0
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,0,0
41,2019,4,57594.66
42,2020,0,0
43,2021,1,0
